index,Date,Name,Sex,Country Killed,Organization,Nationality,Medium,Job,Coverage,Freelance,Local/Foreign,Source of Fire,Type of Death,Impunity (for Murder),Taken Captive,Threatened,Tortured,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
890,8/16/08,Paul Aboyomi Ogundeji,,Nigeria,ThisDay,Nigeria,,,,,,,,,,,,,,,,,,,,
891,8/21/08,Chalee Boonsawat,Male,Thailand,Thai Rath,Thailand,Print,Print Reporter,War,No,Local,Political Group,Dangerous Assignment,,No,No,No,,,,,,,,,
892,8/29/08,Abdul Aziz Shaheen,Male,Pakistan,Azadi ,Pakistan,Print,Print Reporter,"Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,Yes,No,No,,,,,,,,,
893,8/31/08,Magomed Yevloyev,Male,Russia,Ingushetiya,Russia,Internet,Publisher,"Corruption, Human Rights, Politics, War",No,Local,Government Officials,Murder,Yes,Yes,Yes,No,,,,,,,,,
894,9/2/08,Telman (Abdulla) Alishayev,Male,Russia,TV-Chirkei ,Russia,Television,Columnist,Culture,No,Local,Political Group,Murder,Yes,No,Yes,No,,,,,,,,,
895,9/13/08,Musab Mahmood al-Ezawi,Male,Iraq,Al-Sharqiya ,Iraq,Television,Broadcast,Culture,No,Local,Political Group,Murder,Yes,Yes,No,No,,,,,,,,,
896,9/13/08,Ahmed Salim,Male,Iraq,Al-Sharqiya ,Iraq,Television,Camera Operator,Culture,No,Local,Political Group,Murder,Yes,Yes,No,No,,,,,,,,,
897,9/13/08,Ihab Mu'd,Male,Iraq,Al-Sharqiya ,Iraq,Television,Camera Operator,Culture,No,Local,Political Group,Murder,Yes,Yes,No,No,,,,,,,,,
898,9/13/08,Qaydar Sulaiman,,Iraq,Al-Sharqiya ,,,,,,,,,,,,,,,,,,,,,
899,9/27/08,Jaruek Rangcharoen,Male,Thailand,Matichon,Thailand,Print,Print Reporter,Corruption,No,Local,Political Group,Murder,Yes,No,No,No,,,,,,,,,
900,10/6/08,Rashmi Mohamed,Male,Sri Lanka,Sirasa TV ,Sri Lanka,Television,Broadcast,"Politics, War",No,Local,Political Group,Dangerous Assignment,,No,No,No,,,,,,,,,
901,10/8/08,Jagat Prasad Joshi,,Nepal,Janadisha,,,,,,,,,,,,,,,,,,,,,
902,10/10/08,Dyar Abas Ahmed,,Iraq,Eye Iraq ,,,,,,,,,,,,,,,,,,,,,
903,10/16/08,Eiphraim Audu,,Nigeria,Nasarawa State Broadcasting Service,Nigeria,,,,,,,,,,,,,,,,,,,,
904,10/23/08,Ivo Pukanic,Male,Croatia,Nacional,Croatia,Print,Publisher,"Corruption, Crime, Politics",No,Local,Political Group,Murder,Partial,No,Yes,No,,,,,,,,,
905,10/23/08,Niko Franjic,,Croatia,Nacional,,,,,,,,,,,,,,,,,,,,,
906,11/3/08,Abdul Razzak Johra,Male,Pakistan,Royal TV,Pakistan,Television,Broadcast,Crime,No,Local,Criminal Group,Murder,Yes,No,No,No,,,,,,,,,
907,11/17/08,Arecio Padrigao,,Philippines,DXRS,,,,,,,,,,,,,,,,,,,,,
908,11/20/08,Jagjit Saikia,,India,Amar Asom,,,,,,,,,,,,,,,,,,,,,
909,11/21/08,Didace Namujimbo,,Democratic Republic of the Congo,Radio Okapi,,,,,,,,,,,,,,,,,,,,,
910,11/25/08,Vikas Ranjan,Male,India,Hindustan,India,Print,Print Reporter,Corruption,No,Local,Unknown Fire,Murder,Yes,No,Yes,No,,,,,,,,,
911,12/2/08,Leo Mila,,Philippines,Radyo Natin,,,,,,,,,,,,,,,,,,,,,
912,Jan-09,Francis Nyaruri,Male,Kenya,Weekly Citizen,Kenyan,Radio,Print Reporter,Corruption,No,Local,Government Officials,Murder,Yes,Yes,Yes,Yes,,,,,,,,,
913,1/1/09,Hassan Mayow Hassan,Male,Somalia,Radio Shabelle,Somalia,Radio,Broadcast,"Human Rights, War",No,Local,Military Officials,Murder,Yes,No,Yes,No,,,,,,,,,
914,1/4/09,Tahir Awan,Male,Pakistan,freelance,Pakistan,Print,Print Reporter,War,Yes,Local,Political Group,Dangerous Assignment,,,,,,,,,,,,,
915,1/4/09,Mohammad Imran,Male,Pakistan,Express TV,Pakistan,Television,Camera Operator,War,No,Local,Political Group,Dangerous Assignment,,No,No,No,,,,,,,,,
916,1/5/09,Shafig Amrakhov,,Russia,RIA 51,,,,,,,,,,,,,,,,,,,,,
917,1/7/09,Basil Ibrahim Faraj,Male,Israel and the Occupied Palestinian Territory,Palestinian Media and Communication Company,Palestinian,Television,Camera Operator,"Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
918,1/8/09,Lasantha Wickramatunga,Male,Sri Lanka,The Sunday Leader,Sri Lanka,Print,Editor,"Human Rights, Politics, War",No,Local,Government Officials,Murder,Yes,No,Yes,No,,,,,,,,,
919,1/11/09,Uma Singh,Female,Nepal,"Janakpur Today, Radio Today ",Nepal,"Print, Radio",Broadcast,"Human Rights, Politics",No,Local,Political Group,Murder,No,No,Yes,No,,,,,,,,,
920,1/16/09,Orel Sambrano,Male,Venezuela,ABC de la Semana and Radio Am_rica,Venezuela,"Print, Radio",Columnist,"Corruption, Crime",No,Local,Government Officials,Murder,Partial,No,No,No,,,,,,,,,
921,1/19/09,Anastasiya Baburova,Female,Russia,Novaya Gazeta ,Russian/Ukrainian,Print,Print Reporter,Human Rights,Yes,Local,Political Group,Murder,No,No,No,No,,,,,,,,,
922,1/22/09,Badrodin Abbas,,Philippines,DXCM,,,,,,,,,,,,,,,,,,,,,
923,2/2/09,Said Tahlil Ahmed,Male,Somalia,HornAfrik,Somalia,Radio,Publisher,"Human Rights, War",No,Local,Political Group,Murder,Partial,No,Yes,No,,,,,,,,,
924,2/2/09,Bruno Jacquet Oss_bi,,Republic of Congo,Mwinda,France Congolese,,,,,,,,,,,,,,,,,,,,
925,2/7/09,Ando Ratovonirina,Male,Madagascar,Radio T_l_vision Analamanga,Madagascar,Television,"Broadcast, Camera Operator",Politics,No,Local,Military Officials,Dangerous Assignment,,,,,,,,,,,,,
926,2/11/09,Anak Agung Prabangsa,Male,Indonesia,Radar Bali,Indonesian,Print,Print Reporter,"Corruption, Politics",No,Local,Government Officials,Murder,No,Yes,Yes,Yes,,,,,,,,,
927,2/12/09,Puniyamoorthy Sathiyamoorthy,Male,Sri Lanka,freelance,Sri Lanka,"Radio, Television",Broadcast,"Politics, War",Yes,Local,Government Officials,Dangerous Assignment,,No,No,No,,,,,,,,,
928,2/18/09,Musa Khankhel,Male,Pakistan,Geo TV and The News,Pakistan,"Print, Television","Broadcast, Print Reporter","Politics, War",No,Local,Military Officials,Murder,Yes,Yes,No,Yes,,,,,,,,,
929,2/23/09,Ernie Rollin,Male,Philippines,DXSY Radio,Philippine,Radio,Columnist,Politics,No,Local,Unknown Fire,Murder,Yes,No,No,No,,,,,,,,,
930,3/10/09,Suhaib Adnan,Male,Iraq,Al-Baghdadia TV,Iraq,Television,Camera Operator,"Politics, War",No,Local,Political Group,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
931,3/10/09,Haidar Hashim Suhail,Male,Iraq,Al-Baghdadia TV,Iraq,Television,Broadcast,"Politics, War",No,Local,Political Group,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
932,3/11/09,Jawed Ahmad,,Afghanistan,freelance ,,,,,,,,,,,,,,,,,,,,,
933,3/18/09,Omidreza Mirsayafi,Male,Iran,Rooznegar,Iran,Internet,Internet Reporter,"Culture, Politics",Yes,Local,Government Officials,Dangerous Assignment,,,,,,,,,,,,,
934,3/24/09,Anil Mazumdar,Male,India,Aji,Indian ,Print,Editor,"Business, Corruption, Crime, Culture, Human Rights, Politics, War",No,Local,Political Group,Murder,Yes,No,No,No,,,,,,,,,
935,3/26/09,Raja Assad Hameed,,Pakistan,"The Nation, Waqt TV",,,,,,,,,,,,,,,,,,,,,
936,4/1/09,Rolando Santiz,,Guatemala,Telecentro 13,,,,,,,,,,,,,,,,,,,,,
937,4/16/09,Wasi Ahmad Qureshi,,Pakistan,"Daily Azadi, Balochistan Express",Pakistani,,,,,,,,,,,,,,,,,,,,
938,5/3/09,Carlos Ortega Samper,,Mexico,El Tiempo de Durango ,Mexico,,,,,,,,,,,,,,,,,,,,
939,5/22/09,Abdirisak Mohamed Warsame,Male,Somalia,Radio Shabelle,Somalia,Radio,Producer,"Politics, War",No,Local,Unknown Fire,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
940,5/26/09,Nur Muse Hussein,Male,Somalia,Radio IQK,Somalia,Radio,Broadcast,"Politics, War",No,Local,Political Group,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
941,5/31/09,Alaa Abdel-Wahab,Male,Iraq,Al-Baghdadia TV,Iraq,Television,Broadcast,Sports,No,Local,Political Group,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
942,6/3/09,Jojo Trajano,Male,Philippines,Remate ,Philippines,Print,Print Reporter,Crime,No,Local,Criminal Group,Dangerous Assignment,,No,No,No,,,,,,,,,
943,6/6/09,Marco Antonio Estrada,,Guatemala,Tele Diario,,,,,,,,,,,,,,,,,,,,,
944,6/8/09,Mukhtar Mohamed Hirabe,Male,Somalia,Radio Shabelle,Somalia,Radio,Editor,Politics,No,Local,Political Group,Murder,Partial,No,No,No,,,,,,,,,
945,6/9/09,Crispin Perez,Male,Philippines,DWDO Radio,Philippine,Radio,Columnist,Corruption,No,Local,Government Officials,Murder,Yes,No,No,No,,,,,,,,,
946,6/29/09,Vyacheslav Yaroshenko,,Russia,Korruptsiya i Prestupnost,,,,,,,,,,,,,,,,,,,,,
947,7/3/09,Gabriel Fino Noriega,,Honduras,"Estelar Radio, Radio Am_rica, TV Channel 9",,,,,,,,,,,,,,,,,,,,,
948,7/4/09,Mohamud Mohamed Yusuf,Male,Somalia,Radio IQK,Somalia,Radio,Broadcast,Politics,No,Local,Political Group,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
949,7/15/09,Natalya Estemirova,Female,Russia,"Novaya Gazeta, Kavkazsky Uzel",Russia,Print,Print Reporter,Human Rights,Yes,Local,Government Officials,Murder,Yes,Yes,Yes,,,,,,,,,,
950,7/27/09,Godofredo Linao,,Philippines,Radyo Natin ,Philippine,,,,,,,,,,,,,,,,,,,,
951,8/11/09,Abdulmalik Akhmedilov,Male,Russia,Hakikat and Sogratl,Russia,Print,Editor,Politics,No,Local,Unknown Fire,Murder,Partial,No,No,No,,,,,,,,,
952,8/14/09,Siddique Bacha Khan,,Pakistan,Aaj TV,Pakistani,,,,,,,,,,,,,,,,,,,,
953,8/17/09,Novruzali Mamedov,Male,Azerbaijan,Talyshi Sado,Azerbaijan,Print,Editor,Culture,No,Local,Government Officials,Dangerous Assignment,,,,,,,,,,,,,
954,8/23/09,Bruno Koko Chirambiza,,Democratic Republic of the Congo,Radio Star,Congolese,,,,,,,,,,,,,,,,,,,,
955,8/24/09,Janullah Hashimzada,Male,Pakistan,freelance,Afghanistan,Television,Broadcast,"Politics, War",Yes,Foreign,Military Officials,Murder,Yes,No,Yes,No,,,,,,,,,
956,9/2/09,Christian Gregorio Poveda Ruiz,Male,El Salvador,Freelance,France,Television,Producer,Crime,Yes,Foreign,Criminal Group,Murder,No,No,Yes,No,,,,,,,,,
957,9/9/09,Sultan Mohammed Munadi,Male,Afghanistan,The New York Times,Afghanistan,Print,Print Reporter,"Human Rights, War",Yes,Local,Political Group,Dangerous Assignment,,Yes,Yes,,,,,,,,,,
958,9/20/09,Bayo Ohu,Male,Nigeria,The Guardian,Nigerian,Print,"Editor, Print Reporter",Politics,No,Local,Unknown Fire,Murder,Yes,No,No,No,,,,,,,,,
959,10/21/09,Orhan Hijran,Male,Iraq,Al-Rasheed,Iraq,Television,Camera Operator,Culture,No,Local,Political Group,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
960,11/23/09,Henry Araneta,Male,Philippines,DZRH,Philippine,Radio,Broadcast,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,Yes,,,,,,,,,
961,11/23/09,Mark Gilbert Arriola,Male,Philippines,UNTV,Philippine,Television,Camera Operator,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,Yes,,,,,,,,,
962,11/23/09,Rubello Bataluna,Male,Philippines,Gold Star Daily,Philippine,Print,Print Reporter,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,Yes,,,,,,,,,
963,11/23/09,Arturo Betia,Male,Philippines,Periodico Ini,Philippine,Print,Print Reporter,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,Yes,,,,,,,,,
964,11/23/09,Romeo Jimmy Cabillo,Male,Philippines,Midland Review,Philippine,Print,Print Reporter,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,Yes,,,,,,,,,
965,11/23/09,Marites Cablitas,Female,Philippines,News Focus and DXDX ,Philippine,"Print, Radio","Broadcast, Print Reporter",Politics,No,Local,Government Officials,Murder,Yes,Yes,No,Yes,,,,,,,,,
966,11/23/09,Hannibal Cachuela,Male,Philippines,Punto News,Philippine,Print,Print Reporter,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,Yes,,,,,,,,,
967,11/23/09,Jepon Cadagdagon,Male,Philippines,Saksi News ,Philippines,Print,Photographer,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,Yes,,,,,,,,,
968,11/23/09,John Caniban,Male,Philippines,Periodico Ini,Philippine,Print,Print Reporter,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,Yes,,,,,,,,,
969,11/23/09,Lea Dalmacio,Female,Philippines,Socsargen News,Philippine,Print,Print Reporter,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,Yes,,,,,,,,,
970,11/23/09,Noel Decina,Male,Philippines,Periodico Ini,Philippine,Print,,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,Yes,,,,,,,,,
971,11/23/09,Gina Dela Cruz,Female,Philippines,Saksi News,Philippine,Print,Print Reporter,Politics,Yes,Local,Government Officials,Murder,Yes,Yes,No,Yes,,,,,,,,,
972,11/23/09,Jhoy Duhay,Male,Philippines,Gold Star Daily,Philippine,Print,Print Reporter,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,Yes,,,,,,,,,
973,11/23/09,Jolito Evardo,Male,Philippines,UNTV,Philippine,Television,Editor,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,Yes,,,,,,,,,
974,11/23/09,Santos Gatchalian,Male,Philippines,DXGO,Philippine,Radio,Broadcast,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,Yes,,,,,,,,,
975,11/23/09,Bienvenido Legarte Jr.,Male,Philippines,Prontiera News,Philippine,Print,"Print Reporter, Publisher",Politics,No,Local,Government Officials,Murder,Yes,Yes,No,Yes,,,,,,,,,
976,11/23/09,Lindo Lupogan,Male,Philippines,Mindanao Daily Gazette,Philippine,Print,Print Reporter,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,Yes,,,,,,,,,
977,11/23/09,Ernesto Maravilla,Male,Philippines,Bombo Radyo,Philippine,Radio,Broadcast,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,Yes,,,,,,,,,
978,11/23/09,Rey Merisco,Male,Philippines,Periodico Ini,Philippine,Print,Print Reporter,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,Yes,,,,,,,,,
979,11/23/09,Reynaldo Momay,Male,Philippines,Midland Review,Philippine,Print,Photographer,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,Yes,,,,,,,,,
980,11/23/09,Rosell Morales,Male,Philippines,News Focus,Philippine,Print,Print Reporter,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,Yes,,,,,,,,,
981,11/23/09,Ronnie Perante,Male,Philippines,Gold Star Daily,Philippine,Print,Print Reporter,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,Yes,,,,,,,,,
982,11/23/09,Joel Parcon,Male,Philippines,Prontiera News,Philippine,Print,Publisher,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,Yes,,,,,,,,,
983,11/23/09,Fernando Razon,Male,Philippines,Periodico Ini,Philippine,Print,,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,Yes,,,,,,,,,
984,11/23/09,Alejandro Reblando,Male,Philippines,Manila Bulletin,Philippine,Print,Print Reporter,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,Yes,,,,,,,,,
985,11/23/09,Napoleon Salaysay,Male,Philippines,Mindanao Gazette,Philippine,Print,,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,Yes,,,,,,,,,
986,11/23/09,Ian Subang,Male,Philippines,Socsargen Today,Philippine,Print,Publisher,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,Yes,,,,,,,,,
987,11/23/09,Andres Teodoro,Male,Philippines,Central Mindanao Inquirer,Philippine,Print,Editor,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,Yes,,,,,,,,,
988,11/23/09,Benjie Adolfo,,Philippines,Gold Star Daily,Philippine,,,,,,,,,,,,,,,,,,,,
989,11/23/09,Daniel Tiamson,,Philippines,UNTV,Philippine,,,,,,,,,,,,,,,,,,,,
990,11/24/09,Jos_ Emilio Galindo Robles,,Mexico,Radio Universidad de Guadalajara,Mexico,,,,,,,,,,,,,,,,,,,,
991,12/3/09,Abdulkhafar Abdulkadir,Male,Somalia,freelance,Somalia,Print,Photographer,"Culture, War",Yes,Local,Political Group,Crossfire/Combat-Related,,,,,,,,,,,,,
992,12/3/09,Mohamed Amin,Male,Somalia,Radio Shabelle,Somalia,Radio,Broadcast,"Culture, War",No,Local,Political Group,Crossfire/Combat-Related,,,,,,,,,,,,,
993,12/3/09,Hassan Zubeyr,Male,Somalia,Al-Arabiya,Somalia,Television,Camera Operator,"Culture, War",No,Local,Political Group,Crossfire/Combat-Related,,,,,,,,,,,,,
994,12/14/09,Jos_ Givonaldo Vieira,,Brazil,Bezerros FM and Folha do Agreste,Brazil,,,,,,,,,,,,,,,,,,,,
995,12/22/09,Gennady Pavlyuk (Ibragim Rustambek),Male,Kazakhstan,Bely Parokhod,Russia,Print,Editor,Corruption,No,Foreign,Government Officials,Murder,Partial,No,No,No,,,,,,,,,
996,12/22/09,Mian Iqbal Shah,,Pakistan,Peshawar Press Club,Pakistan,,,,,,,,,,,,,,,,,,,,
997,12/24/09,Ismael Pasigna,,Philippines,B-96,Philippines,,,,,,,,,,,,,,,,,,,,
998,12/30/09,Michelle Lang,Female,Afghanistan,Calgary Herald and Canwest News Service,Canada,Print,Print Reporter,War,No,Foreign,Political Group,Crossfire/Combat-Related,,,,,,,,,,,,,
999,1/5/10,Bobi Tsankov,,Bulgaria,freelance,Bulgaria,,,,,,,,,,,,,,,,,,,,
1000,1/9/10,Stanislas Ocloo,Male,Angola,T_l_vision Togolaise,Togo,Television,"Broadcast, Columnist",Sports,Yes,Foreign,Political Group,Dangerous Assignment,,,,,,,,,,,,,
1001,1/10/10,Rupert Hamer,Male,Afghanistan,Sunday Mirror,British,Print,Print Reporter,War,No,Foreign,Political Group,Crossfire/Combat-Related,,,,,,,,,,,,,
1002,2/8/10,Jamim Shah,,Nepal,Channel Nepal and Space Time Network,Nepal,,,,,,,,,,,,,,,,,,,,
1003,2/13/10,Muhammad al-Rabou'e,Male,Yemen,Al-Qahira,Yemeni,Print,Print Reporter,Corruption,No,Local,Criminal Group,Murder,Yes,No,Yes,No,,,,,,,,,
1004,3/1/10,Arun Singhaniya,,Nepal,Today Group,,,,,,,,,,,,,,,,,,,,,
1005,3/11/10,David Meza Montesinos,Male,Honduras,"Radio El Patio, Radio America, Channel 45",Honduras,"Radio, Television",Broadcast,"Corruption, Crime, Politics",No,Local,Government Officials,Murder,Yes,No,Yes,No,,,,,,,,,
1006,3/19/10,Clodomiro Castilla Ospino,Male,Colombia,El Pulso del Tiempo,Colombian,Print,"Editor, Publisher","Corruption, Crime, Human Rights, Politics",No,Local,Unknown Fire,Murder,Yes,No,Yes,No,,,,,,,,,
1007,3/26/10,Jos_ Bayardo Mairena,,Honduras,Exc_lsior,Honduras,,,,,,,,,,,,,,,,,,,,
1008,4/4/10,Metin Alata_,,Turkey,Azadiya Welat,Turkey,,,,,,,,,,,,,,,,,,,,
1009,4/5/10,Patient Chebeya,,Democratic Republic of the Congo,freelance,Congolese,,,,,,,,,,,,,,,,,,,,
1010,4/10/10,Hiro Muramoto,Male,Thailand,Reuters,Japan,"Television, Internet",Camera Operator,Politics,No,Foreign,Unknown Fire,Dangerous Assignment,,,,,,,,,,,,,
1011,4/16/10,Malik Arif,Male,Pakistan,Samaa TV,Pakistani,Television,Camera Operator,,No,Local,Unknown Fire,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
1012,4/17/10,Azamat Ali Bangash,Male,Pakistan,Samaa TV,Pakistani,Television,"Broadcast, Internet Reporter",,No,Local,Political Group,Dangerous Assignment,,No,No,No,,,,,,,,,
1013,4/22/10,Germain Cyrille Ngota Ngota,Male,Cameroon,Cameroon Express,Cameroon,Print,Editor,"Corruption, Politics",No,Local,Government Officials,Dangerous Assignment,,,,,,,,,,,,,
1014,4/24/10,Sunday Gyang Bwede,Male,Nigeria,The Light Bearer,Nigeria,Print,Print Reporter,"Culture, Politics",No,Local,Mob Violence,Murder,Yes,,,,,,,,,,,,
1015,4/24/10,Nathan S. Dabak,Male,Nigeria,The Light Bearer,Nigeria,Print,Editor,"Culture, Politics",No,Local,Mob Violence,Murder,Yes,,,,,,,,,,,,
1016,4/24/10,Edo Sule Ugbagwu,,Nigeria,The Nation,Nigeria,,,,,,,,,,,,,,,,,,,,
1017,5/4/10,Sheikh Nur Mohamed Abkey,Male,Somalia,Radio Mogadishu,Somalia,Radio,Producer,"Culture, War",No,Local,Political Group,Murder,Partial,Yes,Yes,Yes,,,,,,,,,
1018,5/5/10,Sardasht Osman,Male,Iraq,freelance,Iraq,"Print, Internet","Internet Reporter, Print Reporter",Corruption,Yes,Local,Government Officials,Murder,Yes,Yes,Yes,No,,,,,,,,,
1019,5/19/10,Fabio Polenghi,Male,Thailand,freelance,Italy,Print,Photographer,"Culture, War",Yes,Foreign,Unknown Fire,Dangerous Assignment,,,,,,,,,,,,,
1020,5/28/10,Ejazul Haq,Male,Pakistan,City-42 TV,Pakistan,Television,"Broadcast, Technician",War,No,Local,Unknown Fire,Dangerous Assignment,,,,,,,,,,,,,
1021,6/14/10,Desidario Camangyan,Male,Philippines,Sunrise FM,Philippine,Radio,Columnist,Corruption,Yes,Local,Government Officials,Murder,Yes,No,Yes,No,,,,,,,,,
1022,6/16/10,Joselito Agustin,Male,Philippines,DZJC,Philippine,Radio,Columnist,"Corruption, Politics",No,Local,Government Officials,Murder,Yes,No,Yes,No,,,,,,,,,
1023,6/24/10,James P. Hunter,Male,Afghanistan,"Fort Campbell Courier, U.S. military publications",American,Print,"Photographer, Print Reporter",War,No,Foreign,Political Group,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
1024,6/26/10,Jean-L_onard Rugambage,Male,Rwanda,Umuvugizi,Rwanda,"Print, Internet","Editor, Internet Reporter, Print Reporter",Politics,No,Local,"Government Officials, Military Officials",Murder,Yes,No,Yes,No,,,,,,,,,
1025,7/2/10,Hem Chandra Pandey (Hemant Pandey),,India,Freelance,India,,,,,,,,,,,,,,,,,,,,
1026,7/19/10,Sokratis Giolias,Male,Greece,"Thema 98.9, Troktiko",Greece,"Radio, Internet","Broadcast, Internet Reporter",Corruption,No,Local,Political Group,Murder,Yes,No,No,No,,,,,,,,,
1027,7/20/10,Vijay Pratap Singh,Male,India,Indian Express,India,Print,Print Reporter,"Business, Politics",No,Local,Political Group,Dangerous Assignment,,,,,,,,,,,,,
1028,7/22/10,Devi Prasad Dhital,,Nepal,Radio Tulsipur FM,Nepal,,,,,,,,,,,,,,,,,,,,
1029,7/26/10,Amira Hatem,,Iraq,Al-Arabiya,Iraq,,,,,,,,,,,,,,,,,,,,
1030,7/26/10,Mohamed Abd al-Kareem Hadi al-Bayati,,Iraq,Al-Arabiya,Iraq,,,,,,,,,,,,,,,,,,,,
1031,7/26/10,Aysar Mahmoud Hamid Zankana,,Iraq,Al-Arabiya,Iraq,,,,,,,,,,,,,,,,,,,,
1032,7/30/10,Ardiansyah Matra'is,Male,Indonesia,Merauke TV,Indonesia,Television,Broadcast,"Business, Corruption, Politics",No,Local,Unknown Fire,Murder,Yes,Yes,Yes,Yes,,,,,,,,,
1033,7/31/10,Miguel Belen,,Philippines,DWEB,Philippines,,,,,,,,,,,,,,,,,,,,
1034,8/3/10,Assaf Abu Rahal,Male,Lebanon,Al-Akhbar,Lebanon,Print,Print Reporter,War,No,Local,Military Officials,Crossfire/Combat-Related,,,,,,,,,,,,,
1035,8/21/10,Ridwan Salamun,Male,Indonesia,Sun TV,Indonesia,Television,Broadcast,Culture,Yes,Local,Mob Violence,Murder,Yes,No,No,No,,,,,,,,,
1036,8/24/10,Barkhat Awale,Male,Somalia,Hurma Radio,Somalia,Radio,Editor,"Culture, War",No,Local,Unknown Fire,Crossfire/Combat-Related,,,,,,,,,,,,,
1037,8/31/10,Abdullahi Omar Gedi,,Somalia,Radio Daljir,Somalia,,,,,,,,,,,,,,,,,,,,
1038,9/3/10,Aleh Byabenin,Male,Belarus,Charter 97,Belarus,Internet,"Editor, Publisher","Corruption, Politics",No,Local,Unknown Fire,Murder,Yes,No,Yes,No,,,,,,,,,
1039,9/3/10,Mohammad Sarwar,,Pakistan,Aaj TV,Pakistan,,,,,,,,,,,,,,,,,,,,
1040,9/4/10,Adams Ledesma Valenzuela,,Argentina,Mundo Villa and Mundo Villa TV,Bolivia,,,,,,,,,,,,,,,,,,,,
1041,9/5/10,Alberto Graves Chakussanga,Male,Angola,Radio Despertar,Angolan,Radio,Broadcast,Politics,No,Local,Unknown Fire,Murder,Yes,No,Yes,No,,,,,,,,,
1042,9/5/10,Sayed Hamid Noori,,Afghanistan,Radio Television Afghanistan,Afghanistan,,,,,,,,,,,,,,,,,,,,
1043,9/6/10,Ejaz Raisani,Male,Pakistan,Samaa TV,Pakistan,Television,Camera Operator,Politics,No,Local,"Criminal Group, Mob Violence",Dangerous Assignment,,No,No,No,,,,,,,,,
1044,9/7/10,Riad al-Saray,Male,Iraq,Al-Iraqiya,Iraq,Television,Broadcast,Culture,No,Local,Political Group,Murder,Yes,No,No,No,,,,,,,,,
1045,9/8/10,Safa al-Din Abdel Hamid,Male,Iraq,Al-Mosuliya,Iraq,Television,Broadcast,Culture,No,Local,Unknown Fire,Murder,Yes,No,No,No,,,,,,,,,
1046,9/11/10,Paul Kiggundu,Male,Uganda,TOP Radio and TV,Uganda,"Radio, Television",Broadcast,Crime,Yes,Local,Mob Violence,Murder,Yes,No,No,No,,,,,,,,,
1047,9/13/10,Dickson Ssentongo,,Uganda,Prime Radio,Uganda,,,,,,,,,,,,,,,,,,,,
1048,9/14/10,Misri Khan,Male,Pakistan,Ausaf and Mashriq,Pakistan,Print,Print Reporter,"Culture, Politics, War",Yes,Local,Political Group,Murder,Yes,No,Yes,No,,,,,,,,,
1049,9/16/10,Luis Carlos Santiago,Male,Mexico,El Diario,Mexico,Print,Photographer,"Crime, Culture, Human Rights, Politics",No,Local,Criminal Group,Murder,Yes,No,Yes,No,,,,,,,,,
1050,10/4/10,Tahrir Kadhim Jawad,Male,Iraq,freelance,Iraq,Television,Camera Operator,"Culture, Politics, War",Yes,Local,Unknown Fire,Murder,Yes,No,No,No,,,,,,,,,
1051,10/14/10,Rodolfo Maya Aricape,,Colombia,Radio Payumat,Colombia,,,,,,,,,,,,,,,,,,,,
1052,11/5/10,Carlos Alberto Guajardo Romero,Male,Mexico,Expreso Matamoros,Mexico,Print,Print Reporter,Crime,No,Local,Military Officials,Dangerous Assignment,,No,No,No,,,,,,,,,
